# Time-averaged data for fix fixflux1
# TimeStep v_tempt1v v_tempt2v f_fix1 f_fix2 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
640000 240.633 195.603 -71.2453 3.86381 -5.8121e-09 -2.72722e-09 -4.2104e-09 -7.14874e-11 -1.85092e-09 -9.67249e-10 -1.01374e-09 -1.00578e-09
650000 241.849 190.979 -81.6073 1.74671 -5.01728e-10 -1.39776e-09 1.48339e-10 1.21871e-09 -2.95586e-09 -6.77028e-10 -7.98253e-10 -7.92025e-10
660000 236.456 194.464 -80.9991 0.285319 -8.76796e-09 -1.94522e-09 -2.3585e-09 -3.24618e-09 -3.79082e-09 -9.36982e-10 -8.8453e-10 -8.78856e-10
670000 239.603 193.149 -73.0697 -1.33478 4.52188e-09 -1.56883e-10 7.59258e-10 2.56846e-09 9.19633e-10 -1.40526e-10 -1.4527e-10 -1.43441e-10
680000 242.92 193.853 -72.8143 7.69862 9.38807e-09 5.88156e-09 4.56386e-09 3.69393e-09 3.25898e-09 2.95844e-09 2.79033e-09 2.75181e-09
690000 236.956 198.418 -109.263 -0.458028 2.0294e-09 -4.07887e-09 -1.61678e-09 4.75401e-10 1.7965e-09 -1.83331e-09 -1.78803e-09 -1.8149e-09
700000 242.996 197.615 -85.4972 -18.3201 8.39302e-09 2.81832e-09 3.50137e-09 4.54966e-09 1.30538e-09 1.70359e-09 1.45105e-09 1.38727e-09
710000 234.453 194.937 -88.0359 6.88584 2.58268e-09 7.79422e-10 2.1703e-10 1.56995e-09 -2.93822e-10 6.63707e-11 -6.98411e-11 -6.27143e-11
720000 237.303 201.194 -87.3088 -13.347 -1.31531e-09 -1.34548e-09 -1.6434e-09 -3.375e-12 -2.3253e-10 -5.82219e-10 -6.02913e-10 -6.18923e-10
730000 235.917 191.691 -86.8065 -10.499 6.07216e-09 2.2737e-09 1.24846e-09 3.66608e-09 9.70881e-10 9.59493e-10 8.67788e-10 7.82846e-10
740000 236.815 198.74 -89.0384 -9.83599 -1.7723e-09 -7.41926e-10 -2.64345e-10 6.75225e-10 -7.88771e-10 -2.82468e-10 -7.23461e-11 5.95335e-11
750000 243.831 193.323 -98.8776 -5.51107 -2.11698e-09 2.93286e-09 1.39451e-09 -3.38598e-09 1.2779e-09 7.98765e-10 1.21346e-09 1.2697e-09
760000 246.732 194.431 -79.0207 -3.5702 -5.38596e-09 -5.72604e-09 -4.42697e-09 5.27229e-10 -4.43001e-09 -2.96532e-09 -2.91608e-09 -2.91025e-09
770000 244.01 189.096 -76.8697 -14.4439 -4.38509e-11 5.79055e-09 3.01627e-09 -1.6037e-09 2.18624e-09 2.97562e-09 3.07026e-09 3.09581e-09
780000 232.69 196.119 -62.9993 -18.3143 -1.08678e-08 -3.34135e-09 -2.7017e-09 -3.99265e-09 -5.11033e-09 -1.75476e-09 -1.56428e-09 -1.51945e-09
790000 239.542 197.448 -85.6605 0.0935957 2.8241e-09 -9.17081e-10 6.07532e-10 3.48006e-09 4.21226e-10 -7.39195e-10 -1.88669e-10 -3.20457e-11
800000 245.594 200.491 -94.3719 8.60746 5.15545e-10 -8.51605e-10 5.47949e-10 8.96602e-10 -3.35226e-09 -3.2482e-10 -7.55159e-10 -8.70968e-10
810000 239.372 193.286 -103.262 -15.2874 1.37658e-09 -2.16509e-09 -9.90454e-10 -1.60221e-09 1.52049e-09 2.22021e-10 -8.04732e-10 -1.03931e-09
820000 240.93 195.556 -80.7857 -15.8945 7.14289e-09 5.51758e-09 5.76578e-09 2.98436e-09 3.60914e-09 3.14688e-09 3.42384e-09 3.46094e-09
830000 235.434 191.155 -92.9659 -7.71992 3.38436e-09 1.69138e-09 2.04661e-09 -2.12941e-09 3.81727e-09 6.4431e-10 6.55808e-10 6.68323e-10
840000 243.817 199.138 -85.4446 -0.0994548 5.79409e-09 2.38384e-09 4.23359e-09 2.76955e-10 2.37097e-09 1.04903e-09 1.09742e-09 1.12354e-09
850000 235.164 199.98 -95.8861 7.65323 -6.87624e-09 -5.34607e-09 -5.40136e-09 3.3186e-10 -3.76666e-09 -2.43129e-09 -2.43869e-09 -2.4352e-09
860000 237.69 196.339 -122.95 -4.36159 7.59339e-09 2.20355e-09 2.26278e-09 3.80011e-09 2.61552e-09 9.97e-10 1.08133e-09 1.07338e-09
870000 239.137 193.157 -98.087 1.77805 2.18203e-10 -6.42765e-10 -9.86676e-10 1.2208e-09 -6.1568e-10 -3.90797e-10 -3.65807e-10 -3.99826e-10
880000 245.346 193.098 -108.481 13.3602 -2.5514e-09 -2.29571e-10 4.07402e-10 -1.73623e-09 -4.85308e-10 7.81904e-11 1.1874e-10 1.40925e-10
890000 241.058 195.388 -107.611 -27.3105 -2.4439e-09 -7.55902e-09 -6.13228e-09 1.85962e-09 -1.84922e-09 -3.88253e-09 -3.83496e-09 -3.7909e-09
900000 236.981 192.322 -104.766 8.47648 7.91477e-09 9.21321e-09 7.73071e-09 1.59627e-09 4.55787e-09 5.04172e-09 5.03267e-09 5.05153e-09
910000 240.776 197.223 -127.711 -10.5884 -1.77317e-09 -2.50918e-09 -3.25694e-09 -6.48243e-10 -1.22555e-09 -1.41925e-09 -1.72777e-09 -1.80275e-09
920000 234.402 194.606 -109.838 -2.77108 1.83333e-09 -6.90457e-10 -2.20356e-12 -2.27438e-10 3.47196e-09 4.70353e-10 3.40602e-10 3.05898e-10
930000 235.579 190.481 -116.213 -8.39814 1.15753e-08 3.09832e-09 2.21133e-09 5.75267e-09 4.92308e-09 1.1562e-09 1.34895e-09 1.38304e-09
940000 240.827 191.938 -120.99 4.16034 -6.08607e-10 -5.47114e-09 -3.03044e-09 2.51906e-09 -2.85941e-09 -2.90537e-09 -2.80402e-09 -2.78854e-09
950000 240.884 191.767 -117.922 6.03239 1.84041e-09 2.5978e-09 2.68177e-09 -5.1224e-10 1.66294e-09 1.85867e-09 1.70174e-09 1.63005e-09
960000 245.14 195.8 -88.1185 -7.64987 -7.63355e-09 9.23994e-10 -5.42966e-10 -5.46137e-09 -1.61032e-09 3.39353e-10 2.85896e-10 3.13627e-10
970000 241.928 199.292 -99.3998 -3.54627 1.76592e-09 -4.40805e-09 -1.25273e-09 2.79454e-09 -6.23207e-10 -1.95423e-09 -1.84712e-09 -1.81134e-09
980000 240.145 193.266 -112.363 8.76153 8.13204e-09 -2.58561e-09 5.80428e-10 3.1145e-09 3.35592e-09 -1.19459e-09 -1.24813e-09 -1.2219e-09
990000 243.36 195.014 -114.941 -1.48874 1.66531e-10 3.75305e-09 2.21745e-09 -1.80713e-10 -4.35181e-10 1.55993e-09 1.71315e-09 1.69223e-09
1000000 241.518 195.357 -110.339 2.76921 -5.62472e-09 -2.3609e-09 -1.17954e-09 -1.32575e-09 -3.63286e-09 -1.00392e-09 -9.9148e-10 -9.73946e-10
1010000 235.727 191.464 -103.284 5.2037 2.30825e-09 1.29872e-09 2.90521e-09 3.90141e-11 -2.5651e-11 3.05504e-10 4.9171e-10 5.41251e-10
1020000 238.141 195.353 -110.669 -1.98308 6.42648e-10 -1.74138e-09 2.2204e-11 1.40552e-09 -1.83663e-12 -1.10345e-10 -2.11957e-10 -2.56089e-10
1030000 246.246 194.849 -90.4875 -8.08069 -5.87146e-09 -6.9981e-10 -2.99328e-10 -2.44007e-09 -3.49325e-09 -6.38223e-10 -5.43366e-10 -4.48517e-10
1040000 240.242 190.076 -124.253 -0.0411456 1.03832e-08 -1.245e-09 -3.76099e-10 8.41e-09 1.58915e-09 -7.06569e-10 -6.99836e-10 -6.82307e-10
1050000 240.757 192.27 -94.8346 3.11039 -3.36241e-10 4.18455e-09 2.51482e-09 -1.42508e-09 -9.16908e-10 1.86265e-09 1.72106e-09 1.65547e-09
1060000 238.691 196.012 -95.3124 3.06195 -9.76922e-09 3.18132e-09 -4.48843e-10 -5.78028e-09 -2.96311e-09 1.02227e-09 1.12336e-09 1.18079e-09
1070000 241.655 191.238 -99.9452 11.071 1.78999e-09 -3.4092e-09 -1.23131e-09 1.58783e-09 6.963e-10 -1.5499e-09 -1.39397e-09 -1.41805e-09
1080000 247.991 198.154 -108.551 2.06281 7.1597e-09 7.50202e-10 4.07922e-09 1.12748e-09 3.28355e-09 4.05511e-10 5.84847e-10 6.14222e-10
1090000 243.218 195.274 -118.462 4.18592 -2.88565e-10 -4.22232e-09 -3.85913e-09 5.9765e-11 1.62653e-09 -2.32819e-09 -2.22458e-09 -2.13187e-09
